gap,Medklic iz klopi.
gap,Zopet pripombe iz klopi.
gap,Govori iz klopi.
gap,Govori iz klopi.
gap,Pripomba iz klopi.
gap,Posvetovanje.
gap,Posvetovanje.
gap,Nerazumljivo.
gap,Glasovi iz dvorane.
gap,Glasovi iz dvorane.
gap,Ugovori Mirana Potrča iz klopi - ne razume se.
gap,Ugovori Emila Milana Pintarja iz klopi.
gap,Še ugovori iz klopi - ne razume se.
gap,Ugovori iz klopi.
gap,Glasovi iz dvorane.
gap,Pripomba iz klopi - ne razume se.
gap,Glasovi iz dvorane.
gap,Emil Milan Pintar - iz klopi.
gap,Pripomba iz klopi - ne razume se.
gap,Pripomba iz klopi.
gap,Glasovi iz dvorane.
gap,Vmes tiha pripomba gospe.
gap,Intervencija iz dvorane - ne sliši se.
gap,Predsednik dr. Ludvik Toplak - nejasno.
gap,Nekdo iz klopi - ne sliši se.
gap,Glasovi iz klopi.
gap,Glasovi iz klopi.
gap,Glasovi iz klopi.
gap,"Še nekaj govori - ne razume se, ker govori tudi predsednik."
gap,govori iz klopi
gap,nerazumljivo
gap,pripomba iz klopi
gap,vmes govorijo iz klopi
gap,se ga ne razume...
gap,Glasovi iz dvorane.
gap,"Gospod Židanik sprašuje iz klopi, če je določena danes skupna seja."
gap,Nekdo iz klopi nekaj sprašuje.
gap,v ozadju govori.
gap,Govorjenje iz klopi.
gap,"Ugotavljajo, ali je notri ali ni."
gap,Govori iz klopi. Se ne razume. ... argumenti so takšni kot sem jih podal. Gre za različna mišljenja....
gap,Govorjenje iz klopi.
gap,Iz klopi ima nekdo pripombo.
gap,Medklic iz dvorane - se ne sliši.
gap,Nekdo govori iz klopi.
gap,Glas iz klopi - se ne razume
gap,Govor iz klopi.
gap,Govor izklopi.
gap,več jih govori.
gap,govor iz klopi.
gap,Govor iz klopi.
gap,Govor v ozadju.
gap,Govor iz klopi.
gap,govori iz klopi in se ne razume dobro
gap,dialog med navzočimi
gap,se ne sliši
gap,dialog
gap,Iz klopi nekdo nekaj govori in se ne sliši.
gap,Iz klopi nekdo nekaj sprašuje.
gap,Zopet nekdo nekaj sprašuje.
gap,Glas iz klopi.
